1991 census - small area statistics,,,,
ONS Crown Copyright Reserved [from Nomis on 6 May 2026],,,,
,,,,
date,1991,,,
,,,,
1991 frozen ward,S01:1 (Present residents : Total persons ),S01:8 (Absent residents (part of household present) : Total persons ),S01:15 (Absent residents (wholly absent household - enumerated) : Total persons ),S01:22 (Absent residents (wholly absent household - imputed) : Total persons )
10UCFA Aldermaston,754,22,13,23
10UCFB Basildon,"2,319",140,41,31
10UCFC Beenham,"2,320",99,34,11
10UCFD Bradfield,"2,271",95,32,8
10UCFE Bucklebury,"1,987",82,35,33
10UCFF Burghfield,"6,773",194,123,65
10UCFG Calcot,"3,111",61,40,24
10UCFH Chieveley,"2,978",135,42,29
10UCFJ Cold Ash,"3,541",124,74,27
10UCFK Compton,"3,141",97,36,18
10UCFL Craven,"5,170",136,77,61
10UCFM Downlands,"2,226",82,25,19
10UCFN Falkland,"5,565",184,91,35
10UCFP Greenham,"2,566",60,34,11
10UCFQ Hungerford,"5,874",156,78,66
10UCFR Kintbury,"3,062",105,23,21
10UCFS Lambourn Valley,"4,925",155,66,49
10UCFT Mortimer,"4,655",169,66,56
10UCFU Northcroft,"2,248",63,53,37
10UCFW Pangbourne,"3,133",130,60,11
10UCFX Purley,"3,964",111,33,33
10UCFY St.John's,"6,632",129,70,83
10UCFZ Shaw-cum-Donnington,"1,490",58,20,5
10UCGA Speen,"3,147",89,48,23
10UCGB Thatcham North,"4,288",59,36,25
10UCGC Thatcham South,"9,421",173,140,39
10UCGD Thatcham West,"5,863",89,59,34
10UCGE Theale,"9,611",196,138,53
10UCGF Tilehurst,"10,474",182,113,50
10UCGG Turnpike,"3,051",49,47,24
10UCGH Winchcombe,"3,805",52,71,37
10UDFA Abbey,"8,469",190,183,602
10UDFB Battle,"7,896",137,115,310
10UDFC Caversham,"9,262",189,164,152
10UDFD Church,"7,479",126,61,100
10UDFE Katesgrove,"7,110",160,85,279
10UDFF Kentwood,"8,573",159,84,130
10UDFG Minster,"7,776",142,197,219
10UDFH Norcot,"8,930",141,99,157
10UDFJ Park,"7,502",226,100,253
10UDFK Peppard,"9,067",268,105,123
10UDFL Redlands,"7,090",224,140,193
10UDFM Southcote,"7,814",132,89,73
10UDFN Thames,"7,760",292,148,64
10UDFP Tilehurst,"7,966",116,75,51
10UDFQ Whitley,"8,876",98,51,305
10UEFA Baylis,"7,011",133,84,164
10UEFB Britwell,"8,449",93,90,111
10UEFC Central,"7,480",194,80,264
10UEFD Chalvey,"10,075",158,145,492
10UEFE Cippenham,"9,244",131,131,117
10UEFF Farnham,"6,797",126,119,90
10UEFG Foxborough,"6,477",98,109,129
10UEFH Haymill,"7,983",107,125,164
10UEFJ Kedermister,"6,129",78,89,67
10UEFK Langley St.Mary's,"6,382",106,82,68
10UEFL Stoke,"6,629",78,29,191
10UEFM Upton,"5,784",127,111,117
10UEFN Wexham Lea,"7,762",122,81,64
10UFFA Belmont,"6,680",190,94,82
10UFFB Bisham and Cookham,"6,369",292,131,86
10UFFC Boyn Hill,"6,187",244,91,108
10UFFD Bray,"7,579",323,142,77
10UFFE Castle,"3,825",125,90,113
10UFFF Clewer North,"6,001",148,83,39
10UFFG Clewer South,"4,784",99,57,59
10UFFH Cox Green,"7,277",162,122,55
10UFFJ Datchet,"4,609",134,90,114
10UFFK Eton North and South,"1,223",42,15,41
10UFFL Eton West,"2,251",40,22,22
10UFFM Furze Platt,"6,748",195,78,111
10UFFN Horton and Wraysbury,"4,221",113,82,70
10UFFP Hurley,"5,864",211,103,82
10UFFQ Oldfield,"7,190",223,124,58
10UFFR Old Windsor,"4,737",134,92,86
10UFFS Park,"5,773",234,150,255
10UFFT Pinkneys Green,"6,333",156,104,172
10UFFU St. Mary's,"6,866",267,129,113
10UFFW Sunningdale and South Ascot,"7,252",444,162,112
10UFFX Sunninghill,"7,005",326,101,112
10UFFY Trinity,"5,218",114,109,119
10UGFA Arborfield,"2,098",67,27,60
10UGFB Barkham,"2,778",107,66,6
10UGFC Bulmershe,"3,884",73,59,22
10UGFD Charvil,"2,010",72,35,9
10UGFE Coronation,"6,761",195,125,56
10UGFF Emmbrook,"5,577",232,76,58
10UGFG Evendons,"10,708",356,184,70
10UGFH Finchampstead North,"5,343",179,86,34
