Site Name,Primary Fuel,Capacity MW,CO2_Total CO2 per year,CO2_Solar saving,CO2_Wind saving,CO2_Hydro saving,CO2_Nuclear saving,CO2_Biomass saving,Water_Consumption litres/yr,Water_Solar saving,Water_Wind saving,Water_Hydro saving,Water_Nuclear saving,Water_Biomass saving,Emissions_NOX kg,Emissions_SOX kg,Emissions_CH4 kg,Emissions_Solar NOX saving,Emissions_Wind NOX saving,Emissions_Hydro NOX saving,Emissions_Nuclear NOX saving,Emissions_Biomass NOX saving,Emissions_Solar SOX saving,Emissions_Wind SOX saving,Emissions_Hydro SOX saving,Emissions_Nuclear SOX saving,Emissions_Biomass SOX saving,Emissions_Solar CH4 saving,Emissions_Wind CH4 saving,Emissions_Hydro CH4 saving,Emissions_Nuclear CH4 saving,Emissions_Biomass CH4 saving,Land_Site ha,Land_Solar net land,Land_Wind net land,Land_Hydro net land,Land_Nuclear net land,Land_Biomass net land
Spalding Energy Company Ltd,Natural Gas,950.0,1137294825.2546,1047833325.2546,1094020425.2546,1049913825.2546,1042091145.2546,821391705.2546,989485800.0,989485800.0,989485800.0,984659040.0,-2254096920.0,-1679712480.0,,,,,,,,,,,,,,,,,,,0.1,-1899.9,-256.4,-9.4,-322.9,-949.9
Spalding Expansion OCGT ,Natural Gas,300.0,359145734.2909263,330894734.2909263,345480134.2909263,331551734.2909263,329081414.2909263,259386854.29092628,312469200.0,312469200.0,312469200.0,310944960.0,-711820080.0,-530435520.0,,,,,,,,,,,,,,,,,,,30.0,-570.0,-51.0,27.0,-72.0,-270.0
Londonwaste Ltd,MSW,58.0,12385607.565935032,6923747.565935032,9743591.565935032,7050767.565935032,6573172.365935032,-6901109.234064968,224774592.0,224774592.0,224774592.0,224368128.0,-48369216.0,0.0,,,,,,,,,,,,,,,,,,,35.7,-80.3,20.0,35.1,16.0,-22.3
Marchwood Power,Natural Gas,898.0,1075042897.977506,990478237.977506,1034137201.977506,992444857.977506,985050366.777506,776431317.177506,935324472.0,935324472.0,935324472.0,930761913.6,-2130714772.7999997,-1587770323.1999998,252000.0,,,252000.0,252000.0,252000.0,252000.0,-2029279.1999999995,,,,,,,,,,,11.1,-1784.9,-231.4,2.1,-294.2,-886.9
Fellside CHP,Natural Gas,105.0,125701007.0018242,115813157.0018242,120918047.0018242,116043107.0018242,115178495.0018242,90785399.0018242,109364220.0,109364220.0,109364220.0,108830736.0,-249137028.0,-185652432.0,,,,,,,,,,,,,,,,,,,10.5,-199.5,-17.9,9.4,-25.2,-94.5
Peterborough Power Station,Natural Gas,245.0,293302349.6709231,270230699.6709231,282142109.6709231,270767249.6709231,268749821.6709231,211832597.6709231,0.0,0.0,0.0,-1244796.0,-836502912.0,-688372188.0,,,,,,,,,,,,,,,,,,,1.4,-488.6,-64.8,-1.1,-81.9,-243.6
Croydon,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Derby,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Exeter,Natural Gas,50.0,59857622.38182104,55149122.38182104,57580022.38182104,55258622.38182104,54846902.38182104,43231142.38182104,0.0,0.0,0.0,-254039.99999999997,-170714879.99999997,-140484119.99999997,,,,,,,,,,,,,,,,,,,5.0,-95.0,-8.5,4.5,-12.0,-45.0
Heartlands,Natural Gas,100.0,119715244.76364207,110298244.76364207,115160044.76364207,110517244.76364207,109693804.76364207,86462284.76364209,0.0,0.0,0.0,-508079.99999999994,-341429759.99999994,-280968239.99999994,,,,,,,,,,,,,,,,,,,10.0,-190.0,-17.0,9.0,-24.0,-90.0
