Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,species_before,species_5yr,species_10yr,species_20yr,species_now
Croydon B,Purley,Croydon,Greater London,51°22′44″N 0°07′16″W,Coal,338.0,1950.0,1984,34.0,Redeveloped,Partial,,,,,,,,51.37888888888889,-0.1211111111111111,101.4,estimated,704.0,1038.0,750.0,690.0,1559.0
Deptford West,Deptford,Greater London,Greater London,51°28′57″N 0°01′13″W,Coal,158.0,1929.0,1983,54.0,Redeveloped,Full,,,,,,,,51.4825,-0.0202777777777777,47.4,estimated,46.0,138.0,259.0,540.0,2323.0
Derwenthaugh Coke Works,Swalwell,Tyne and Wear,North East,,Waste Gas,,1928.0,1986,58.0,Active remediation and rewilding,Full,,,,,,,,,,,estimated,,,,,
Didcot A,Didcot,Oxfordshire,South East,51°37′25″N 1°16′03″W,Coal,2109.0,1970.0,2013,43.0,Brownfield,Full,,,,,,,,51.62361111111111,-1.2674999999999998,632.7,estimated,1209.0,1300.0,1514.0,,1401.0
Doncaster B,Doncaster,South Yorkshire,Yorkshire and the Humber,53°31′27″N 1°08′46″W,Coal,122.0,1953.0,1983,30.0,Brownfield,Partial,,,,,,,,53.524166666666666,-1.146111111111111,36.6,estimated,381.0,242.0,566.0,1308.0,1078.0
Drakelow A,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,240.0,1955.0,1984,29.0,Redeveloped,Full,,,,,,,,52.77361111111111,-1.6566666666666665,72.0,estimated,130.0,52.0,302.0,475.0,704.0
Drakelow B,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,480.0,1959.0,1993,34.0,Renewable energy site,Full,,,,,,,,52.77361111111111,-1.6566666666666665,144.0,estimated,192.0,407.0,379.0,559.0,704.0
Drakelow C,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,1450.0,1964.0,2003,39.0,Passive rewilding and redevelopment,Passive rewilding,,,,,,,,52.77361111111111,-1.6566666666666665,435.0,estimated,400.0,620.0,559.0,892.0,704.0
Dungeness A1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285.0,1965.0,2006,41.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,42.8,estimated,1195.0,1320.0,1341.0,,1187.0
Dungeness A2,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285.0,1965.0,2006,41.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,42.8,estimated,1195.0,1320.0,1341.0,,1187.0
Dungeness B1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (AGR),660.0,1983.0,2021,38.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,,estimated,1554.0,,,,1187.0
Dunston B,Dunston,Tyne and Wear,North East,54°57′02″N 1°39′26″W,Coal,300.0,1951.0,1981,30.0,Redeveloped,Partial,,,,,,,,54.95055555555556,-1.6572222222222222,90.0,estimated,93.0,302.0,111.0,255.0,1201.0
Earley[21],Earley,Berkshire,South East,,Diesel-fired gas turbine,111.0,1965.0,1982,17.0,Redeveloped,Partial,,,,,,,,,,,estimated,,,,,
East Yelland,Yelland,Devon,South West,,Coal,170.0,1955.0,1984,29.0,Brownfield,Partial,,,,,,,,,,51.0,estimated,,,,,
Eggborough,Eggborough,North Yorkshire,Yorkshire and the Humber,53°42′42″N 1°07′37″W,Coal,1960.0,1967.0,2018,51.0,Remediation,Partial,,,,,,,,53.711666666666666,-1.1269444444444443,588.0,estimated,90.0,156.0,,,175.0
Elland,Elland,West Yorkshire,Yorkshire and the Humber,53°41′40″N 1°49′22″W,Coal,180.0,1959.0,1991,32.0,Redeveloped,Partial,,,,,,,,53.69444444444444,-1.8227777777777776,54.0,estimated,43.0,269.0,528.0,575.0,716.0
Fawley,Fawley,Hampshire,South East,50°49′00″N 1°19′44″W,Oil,968.0,1971.0,2013,42.0,Brownfield,Full,,,,,,,,50.81666666666667,-1.3288888888888888,96.8,estimated,987.0,905.0,930.0,,815.0
Ferrybridge B,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,300.0,1959.0,1992,33.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,90.0,estimated,277.0,413.0,493.0,604.0,725.0
Ferrybridge C,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,2000.0,1966.0,2016,50.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,600.0,estimated,560.0,552.0,,,725.0
Fiddlers Ferry,Widnes – Warrington,Cheshire,North West,53°22′19″N 2°41′13″W,Coal,1989.0,1971.0,2020,49.0,Remediation then redevelopment,Partial,,,,,,,,53.371944444444445,-2.686944444444445,596.7,estimated,1652.0,1399.0,,,1399.0
Goldington,Bedford,Bedfordshire,East,52°08′15″N 0°25′39″W,Coal,180.0,1954.0,1983,29.0,Redeveloped,Partial,,,,,,,,52.1375,-0.4275,54.0,estimated,326.0,597.0,531.0,946.0,888.0
Grain Oil,Grain,Kent,South East,51°26′43″N 0°42′54″E,Oil,1300.0,1979.0,2012,33.0,New energy site,Partial,,,,,,,,51.445277777777775,0.715,130.0,estimated,718.0,763.0,367.0,,348.0
Great Yarmouth B,Great Yarmouth,Norfolk,East,52°35′02″N 1°44′00″E,Oil,252.0,1958.0,1994,36.0,New energy site,Partial,,,,,,,,52.58388888888889,1.7333333333333334,25.2,estimated,583.0,565.0,764.0,1094.0,822.0
Hams Hall B,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,306.0,1942.0,1981,39.0,Remediation then redevelopment,Full,,,,,,,,52.52472222222222,-1.7052777777777777,91.8,estimated,341.0,388.0,213.0,959.0,730.0
Hams Hall C,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,357.0,1958.0,1992,34.0,Remediation then rewilding,Full,,,,,,,,52.52472222222222,-1.7052777777777777,107.1,estimated,213.0,984.0,593.0,947.0,730.0
High Marnham,Dunham,Nottinghamshire,East Midlands,53°13′44″N 0°47′33″W,Coal,945.0,1959.0,2003,44.0,Renewable energy site,Full,,,,,,,,53.22888888888889,-0.7925,283.5,estimated,211.0,119.0,346.0,533.0,502.0
Hinkley Point A,Hinkley Point,Somerset,South West,51°12′31″N 3°08′01″W,Nuclear (magnox),470.0,1957.0,2000,43.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20861111111111,-3.133611111111111,70.5,estimated,97.0,112.0,241.0,193.0,278.0
Hinkley Point B,Hinkley Point,Somerset,South West,51°12′33″N 3°07′39″W,Nuclear (AGR),1220.0,1976.0,2022,46.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20916666666667,-3.1275,,estimated,224.0,,,,260.0
Huddersfield[11],Huddersfield,West Yorkshire,North East,53°39′09″N 1°46′26″W,Coal,94.0,1893.0,1981,88.0,Redeveloped,Partial,,,,,,,,53.6525,-1.7738888888888888,28.2,estimated,211.0,414.0,106.0,626.0,549.0
Huncoat,Accrington,Lancashire,North West,53°46′34″N 2°20′16″W,Coal,150.0,1956.0,1984,28.0,Brownfield,Partial,,,,,,,,53.77611111111111,-2.3377777777777777,45.0,estimated,208.0,358.0,423.0,841.0,550.0
Ince B,Ellesmere Port,Cheshire,North West,,Oil,1050.0,1984.0,1997,13.0,Redeveloped,Partial,,,,,,,,,,105.0,estimated,,,,,
Ironbridge A,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,200.0,1932.0,1981,49.0,Passive rewilding,Passive rewilding,,,,,,,,52.63,-2.5119444444444445,60.0,estimated,376.0,745.0,443.0,833.0,1369.0
Ironbridge B,Ironbridge,Shropshire,West Midlands,52°37′48″N 2°30′43″W,Coal,1000.0,1969.0,2015,46.0,Remediation then redevelopment,Partial,,,,,,,,52.63,-2.5119444444444445,300.0,estimated,2253.0,1739.0,1369.0,,1369.0
Keadby Coal,Scunthorpe,North Lincolnshire,Yorkshire and the Humber,53°35′40″N 0°45′02″W,Coal,360.0,1952.0,1984,32.0,New energy site,Partial,,,,,,,,53.59444444444445,-0.7505555555555555,108.0,estimated,18.0,151.0,48.0,88.0,77.0
