Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source
Fawley,Fawley,Hampshire,South East,50°49′00″N 1°19′44″W,Oil,968.0,1971.0,2013,42.0,Brownfield,Full,,,,,,,,50.81666666666667,-1.3288888888888888,96.8,estimated
Ferrybridge B,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,300.0,1959.0,1992,33.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,90.0,estimated
Ferrybridge C,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53°43′03″N 1°16′50″W,Coal,2000.0,1966.0,2016,50.0,Brownfield,Full,,,,,,,,53.7175,-1.2805555555555554,600.0,estimated
Fiddlers Ferry,Widnes – Warrington,Cheshire,North West,53°22′19″N 2°41′13″W,Coal,1989.0,1971.0,2020,49.0,Remediation then redevelopment,Partial,,,,,,,,53.371944444444445,-2.686944444444445,596.7,estimated
Goldington,Bedford,Bedfordshire,East,52°08′15″N 0°25′39″W,Coal,180.0,1954.0,1983,29.0,Redeveloped,Partial,,,,,,,,52.1375,-0.4275,54.0,estimated
Grain Oil,Grain,Kent,South East,51°26′43″N 0°42′54″E,Oil,1300.0,1979.0,2012,33.0,New energy site,Partial,,,,,,,,51.445277777777775,0.715,130.0,estimated
Great Yarmouth B,Great Yarmouth,Norfolk,East,52°35′02″N 1°44′00″E,Oil,252.0,1958.0,1994,36.0,New energy site,Partial,,,,,,,,52.58388888888889,1.7333333333333334,25.2,estimated
Hams Hall B,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,306.0,1942.0,1981,39.0,Remediation then redevelopment,Full,,,,,,,,52.52472222222222,-1.7052777777777777,91.8,estimated
Hams Hall C,Birmingham,Warwickshire,West Midlands,52°31′29″N 1°42′19″W,Coal,357.0,1958.0,1992,34.0,Remediation then rewilding,Full,,,,,,,,52.52472222222222,-1.7052777777777777,107.1,estimated
High Marnham,Dunham,Nottinghamshire,East Midlands,53°13′44″N 0°47′33″W,Coal,945.0,1959.0,2003,44.0,Renewable energy site,Full,,,,,,,,53.22888888888889,-0.7925,283.5,estimated
Hinkley Point A,Hinkley Point,Somerset,South West,51°12′31″N 3°08′01″W,Nuclear (magnox),470.0,1957.0,2000,43.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.20861111111111,-3.133611111111111,70.5,estimated
