Name,Location,District/ county,Region,Coordinates,Type,Total capacity (MW),Opened,Closed,Years Operational,Post Closure Land use?,Remediation Type,Contamination level ,Site area,Surrounding land use,Distance to intact habitat,SSSI within 5km,Annual rainfall,Species counts,lat,lon,site_ha,site_ha_source,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km,lcm_year_used
Bradwell A,Bradwell-on-Sea,Essex,East,51°44′29″N 0°53′49″E,Nuclear (magnox),123.0,1962.0,2002,40.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,51.74138888888889,0.8969444444444444,18.4,estimated,0.079,0.079,0.079,1.691,0.212,0.215,0.215,0.25,1.704,0.25,2000.0,0.079,0.079,0.079,1.691,0.212,0.215,0.215,0.25,1.704,0.25,2000.0
Brunswick Wharf,Blackwall,Tower Hamlets,Greater London,51°30′29″N 0°00′04″E,Coal+oil,340.0,1952.0,1984,32.0,Redeveloped,Partial,,,,,,,,51.50805555555556,0.0011111111111111,102.0,estimated,0.0,0.0,0.0,0.0,7.426,0.0,0.0,0.0,0.0,1.747,1990.0,0.0,0.0,0.0,0.0,7.426,0.0,0.0,0.0,0.0,1.747,1990.0
Bulls Bridge,Hayes,Hillingdon,Greater London,51°30′07″N 0°24′32″W,OCGT,280.0,1980.0,1993,13.0,Redeveloped,Partial,,,,,,,,51.50194444444445,-0.4088888888888889,42.0,estimated,0.25,0.25,0.577,2.68,,0.2,0.2,0.326,1.562,,1990.0,0.25,0.25,0.577,2.68,,0.2,0.2,0.326,1.562,,1990.0
Calder Hall,Seascale,Cumbria,North West,54°25′14″N 3°29′51″W,Nuclear (magnox),200.0,1956.0,2003,47.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,54.42055555555555,-3.4975,30.0,estimated,0.175,0.175,0.175,3.26,0.175,0.656,0.656,0.91,2.312,5.209,2000.0,0.175,0.175,0.175,3.26,0.175,0.656,0.656,0.91,2.312,5.209,2000.0
Carrington Coal,Carrington,Greater Manchester,North West,53°26′09″N 2°24′39″W,Coal,240.0,1956.0,1991,35.0,New energy site,Partial,,,,,,,,53.43583333333333,-2.410833333333333,72.0,estimated,0.146,0.146,0.146,0.2,,0.2,0.2,0.2,0.2,,1990.0,0.146,0.146,0.146,0.2,,0.2,0.2,0.2,0.2,,1990.0
Castle Donington,Castle Donington,Leicestershire,East Midlands,52°50′52″N 1°21′31″W,Coal,600.0,1958.0,1995,37.0,Redeveloped,Partial,,,,,,,,52.84777777777778,-1.3586111111111112,180.0,estimated,0.546,0.546,0.546,0.61,,0.498,0.546,0.546,0.546,,1990.0,0.546,0.546,0.546,0.61,,0.498,0.546,0.546,0.546,,1990.0
Chadderton B,Chadderton,Greater Manchester,North West,53°31′54″N 2°09′57″W,Coal,240.0,1955.0,1982,27.0,Redeveloped,Partial,,,,,,,,53.531666666666666,-2.165833333333333,72.0,estimated,0.177,0.177,0.177,0.195,,0.453,0.846,1.061,2.457,,1990.0,0.177,0.177,0.177,0.195,,0.453,0.846,1.061,2.457,,1990.0
Cliff Quay[6],Ipswich,Suffolk,East,52°02′09″N 1°09′28″E,Coal,276.0,,1984,,Redeveloped,Partial,,,,,,,,52.03583333333333,1.1577777777777778,82.8,estimated,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.84,1990.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.84,1990.0
Cottam,Cottam,Nottinghamshire,East Midlands,53°18′14″N 0°46′53″W,Coal,2000.0,1968.0,2019,51.0,Remediation,Full,,,,,,,,53.303888888888885,-0.7813888888888889,600.0,estimated,0.255,0.498,0.863,0.309,,0.432,0.432,0.756,1.208,,2019.0,0.255,0.498,0.863,0.309,,0.432,0.432,0.756,1.208,,2019.0
Croydon B,Purley,Croydon,Greater London,51°22′44″N 0°07′16″W,Coal,338.0,1950.0,1984,34.0,Redeveloped,Partial,,,,,,,,51.37888888888889,-0.1211111111111111,101.4,estimated,0.617,0.617,1.277,1.277,,1.217,1.352,1.985,1.217,,1990.0,0.617,0.617,1.277,1.277,,1.217,1.352,1.985,1.217,,1990.0
Deptford West,Deptford,Greater London,Greater London,51°28′57″N 0°01′13″W,Coal,158.0,1929.0,1983,54.0,Redeveloped,Full,,,,,,,,51.4825,-0.0202777777777777,47.4,estimated,0.127,0.127,0.127,0.127,9.457,0.146,0.146,0.146,0.146,3.411,1990.0,0.127,0.127,0.127,0.127,9.457,0.146,0.146,0.146,0.146,3.411,1990.0
Derwenthaugh Coke Works,Swalwell,Tyne and Wear,North East,,Waste Gas,,1928.0,1986,58.0,Active remediation and rewilding,Full,,,,,,,,,,,estimated,,,,,,,,,,,1990.0,,,,,,,,,,,1990.0
Didcot A,Didcot,Oxfordshire,South East,51°37′25″N 1°16′03″W,Coal,2109.0,1970.0,2013,43.0,Brownfield,Full,,,,,,,,51.62361111111111,-1.2674999999999998,632.7,estimated,0.202,0.202,0.202,0.301,,0.135,0.175,0.214,0.381,,2015.0,0.202,0.202,0.202,0.301,,0.135,0.175,0.214,0.381,,2015.0
Doncaster B,Doncaster,South Yorkshire,Yorkshire and the Humber,53°31′27″N 1°08′46″W,Coal,122.0,1953.0,1983,30.0,Brownfield,Partial,,,,,,,,53.524166666666666,-1.146111111111111,36.6,estimated,0.106,0.106,0.106,0.106,3.89,0.106,0.106,0.106,0.106,,1990.0,0.106,0.106,0.106,0.106,3.89,0.106,0.106,0.106,0.106,,1990.0
Drakelow A,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,240.0,1955.0,1984,29.0,Redeveloped,Full,,,,,,,,52.77361111111111,-1.6566666666666665,72.0,estimated,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,,1990.0,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,,1990.0
Drakelow B,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,480.0,1959.0,1993,34.0,Renewable energy site,Full,,,,,,,,52.77361111111111,-1.6566666666666665,144.0,estimated,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,,1990.0,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,,1990.0
Drakelow C,Burton upon Trent,Derbyshire,East Midlands,52°46′25″N 1°39′24″W,Coal,1450.0,1964.0,2003,39.0,Passive rewilding and redevelopment,Passive rewilding,,,,,,,,52.77361111111111,-1.6566666666666665,435.0,estimated,0.1,0.1,0.1,0.354,0.498,0.334,0.334,0.403,0.696,,2000.0,0.1,0.1,0.1,0.354,0.498,0.334,0.334,0.403,0.696,,2000.0
Dungeness A1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285.0,1965.0,2006,41.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,42.8,estimated,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325,2007.0,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325,2007.0
Dungeness A2,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (magnox),285.0,1965.0,2006,41.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,42.8,estimated,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325,2007.0,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325,2007.0
Dungeness B1,Dungeness,Kent,South East,50°54′50″N 0°57′50″E,Nuclear (AGR),660.0,1983.0,2021,38.0,"Decomissioning, restricted site",Partial (nuclear),,,,,,,,50.91388888888888,0.9638888888888888,,estimated,0.152,0.168,0.168,0.376,1.029,0.079,0.079,0.079,1.225,0.325,2019.0,0.152,0.168,0.168,0.376,1.029,0.079,0.079,0.079,1.225,0.325,2019.0
Dunston B,Dunston,Tyne and Wear,North East,54°57′02″N 1°39′26″W,Coal,300.0,1951.0,1981,30.0,Redeveloped,Partial,,,,,,,,54.95055555555556,-1.6572222222222222,90.0,estimated,0.05,0.05,0.05,2.462,1.074,0.075,0.075,0.075,1.613,1.145,1990.0,0.05,0.05,0.05,2.462,1.074,0.075,0.075,0.075,1.613,1.145,1990.0
