Table 5.11 List of major power producer power stations in the United Kingdom operational at the end of May 2024 [note 1],,,,,,,,,,,,,,,
This worksheet contains one table,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet,,,,,,,,,,,,,,,
"Freeze panes are active on this sheet, to turn off freeze panes select the 'view' then 'freeze panes' then 'unfreeze panes' or use [Alt W, F]   ",,,,,,,,,,,,,,,
"This table contains empty cells, empty cells indicate data not applicable",,,,,,,,,,,,,,,
Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned
Anesco,Gedling,Solar,PV,No,Solar,,  5.7 ,LV,England,East Midlands,NG44JX,,461655.0,344045.0,2015
Anesco,Hadlow Place,Solar,PV,No,Solar,,  18.9 ,LV,England,South East,CB89YD,,562879.0,145736.0,2015
Anesco,Higher Bye,Solar,PV,No,Solar,,  6.8 ,LV,England,South West,TA230JT,,305042.0,142360.0,2015
Anesco,Trickey Warren,Solar,PV,No,Solar,,  4.6 ,LV,England,South West,TA37DY,,320109.0,114779.0,2015
Anesco,Cotgrave,Solar,PV,No,Solar,,  5.0 ,LV,England,East Midlands,NG123GU,,463974.0,336042.0,2015
Anesco,Pen-Y-Cae,Solar,PV,No,Solar,,  6.8 ,LV,Wales,Wales,SA183BJ,,260143.0,211806.0,2015
Anesco,Radcliffe,Solar,PV,No,Solar,,  4.2 ,LV,England,East Midlands,NG122LT,,463038.0,338202.0,2015
Anesco,Askern,Solar,PV,No,Solar,,  5.0 ,LV,England,Yorkshire and the Humber,DN60BZ,,455441.0,413876.0,2015
Anesco,Lodge Farm,Solar,PV,No,Solar,,  4.9 ,LV,England,East Midlands,S445TE,,441566.0,370954.0,2015
Anesco,Oak Cottage,Solar,PV,No,Solar,,  4.9 ,LV,Wales,Wales,SA624PR,,202839.0,217801.0,2015
Anesco,Playters,Solar,PV,No,Solar,,  8.6 ,LV,England,East of England,NR347TN,,644257.0,287733.0,2015
Anesco,Barton Close,Solar,PV,No,Solar,,  4.6 ,LV,England,South West,,SY651810,247374.0,141403.0,2015
Anesco,Yarburgh,Solar,PV,No,Solar,,  8.1 ,LV,England,East Midlands,LN11ONU,,534300.0,391971.0,2015
Anesco,Brookbarn,Solar,PV,No,Solar,,  3.6 ,LV,England,South East,BN177PE,,500000.0,102000.0,2015
Anesco,Portworthy,Solar,PV,No,Solar,,  4.0 ,LV,England,South West,PL75JP,,256878.0,60850.0,2015
Anesco,Shalfleet,Solar,PV,No,Solar,,  5.0 ,LV,England,South East,PO410TZ,,440587.0,88605.0,2015
Anesco,Grantham,Solar,PV,No,Solar,,  4.9 ,LV,England,East Midlands,,SU508503,507000.0,392000.0,2015
Anesco,Overton,Solar,PV,No,Solar,,  3.8 ,LV,England,South East,,TF459067,450500.0,150500.0,2015
Anesco,Guynd,Solar,PV,No,Solar,,  5.0 ,LV,Scotland,Scotland,,SK880386,356230.0,742772.0,2015
Anesco,Wisbech,Solar,PV,No,Solar,,  3.4 ,LV,England,East of England,,NO633470,546000.0,307000.0,2015
Anesco,Newlands,Solar,PV,No,Solar,,  5.0 ,LV,England,South West,,SU115278,365099.0,81019.0,2015
Anesco,Homestead,Solar,PV,No,Solar,,  4.0 ,LV,England,South East,PO410TZ,,439433.0,88404.0,2015
Anesco,Rainbow ,Solar,PV,No,Solar,,  4.8 ,LV,England,South West,TA64TG,,331238.0,141809.0,2015
Anesco,Hale,Solar,PV,No,Solar,,  3.6 ,LV,England,South West,BH236BB,,409997.0,97268.0,2015
