Facility ID",Height class (1-5),Longitude,Latitude,NOx (as NO2),NMVOC,SOx (as SO2),NH3,PM2.5,PM10,CO,Pb,Cd,Hg,PCDD/ PCDF (dioxins/ furans),PAHs,HCB,PCBs
,,,,deg,deg,kt,kt,kt,kt,kt,kt,kt,t,t,t,g I-Teq,t,kg,kg
12989_Inde,B_Industry,,2,2.525781208,53.39290562,0.119244018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12993_Judy,B_Industry,,2,2.351898155,56.69520248,0.493959744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13000_Leman,B_Industry,,2,2.129528591,53.08802758,0.736038101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13006_Mallard,B_Industry,,2,0.7762481096,57.41831775,0.32360782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13013_Montrose,B_Industry,,2,1.40662321,57.4561539,0.673801052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13014_South Morecambe,B_Industry,,2,-3.6341566,53.86018827,0.332796927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13017_Nelson,B_Industry,,2,1.130253479,57.66531367,0.802382178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13020_Ninian Central,B_Industry,,2,1.460003094,60.86122888,0.435429308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13022_Ninian Southern,B_Industry,,2,1.460003094,60.86122888,0.650832433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13025_Otter,B_Industry,,2,0.9642381991,61.52039989,0.126559655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13026_Pelican,B_Industry,,2,1.125343524,61.03329351,0.346453279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13029_Piper Bravo,B_Industry,,2,0.2707238032,58.45889275,0.358100419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13037_Scott,B_Industry,,2,0.2299839099,58.26444105,0.729174938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13039_Shearwater,B_Industry,,2,1.937028625,57.02859846,1.419818368,NA,NA,NA,NA,NA,0.816773128,NA,NA,NA,NA,NA,NA,NA
13043_Tern,B_Industry,,2,0.9048131153,61.27884669,0.377996201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13046_Tiffany,B_Industry,,2,1.271805033,58.48613074,0.427481573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13050_Silvertown,B_Industry,,2,0.04812859247,51.5032896,0.1093965273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13064_Bacton,B_Industry,,2,1.460663777,52.85677563,0.110300415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13160_Kirkby Thore Gypsum Works,B_Industry,,2,-2.550698957,54.63435117,NA,NA,NA,NA,NA,NA,0.650752,NA,NA,NA,NA,NA,NA,NA
13293_Stanlow Manufacturing Complex,B_Industry,,3,-2.838280097,53.26957826,2.54178208,NA,5.218300003,NA,NA,NA,NA,NA,NA,0.02694,NA,NA,NA,NA
13353_Teesside Works,B_Industry,,1,-1.108342328,54.60913732,NA,NA,NA,NA,0.107514,0.35838,NA,NA,NA,NA,NA,NA,NA,NA
13414_Grangemouth,B_Industry,,1,-3.687267509,56.00704415,0.468,1.08,NA,NA,0.09069471788,0.0907,NA,NA,NA,NA,NA,NA,NA,NA
13415_Grangemouth,B_Industry,,2,-3.692202377,56.01389584,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13629_Morayhill,B_Industry,,1,-4.087618433,57.51480484,0.1231036449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1349515389,NA,NA,NA
13749_Hexham,B_Industry,,1,-2.085037189,54.97645716,0.1368900829,NA,NA,NA,NA,NA,0.7575959782,NA,NA,NA,0.1322442516,NA,NA,NA
13763_Teesside Hydrogen Plant,B_Industry,,1,-1.213660791,54.60402535,0.118816433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13871_Starlaw Distillery,B_Industry,,1,-3.583826767,55.88844385,NA,0.1013498923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14053_Winnington Sodium Carbonate Manufacturing Site,B_Industry,,1,-2.52547897,53.26786198,0.20122,NA,NA,0.012454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14062_Runcorn,B_Industry,,2,-2.649089977,53.31165803,NA,NA,NA,0.06756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14164_Partington,B_Industry,,1,-2.419371585,53.42558495,0.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14166_Bridgend Paper Mill,B_Industry,,1,-3.620219532,51.57193063,0.128043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14263_Hope Works,B_Industry,,3,-1.75381243,53.33869965,1.649454,NA,1.439877,0.154178,NA,NA,4.930786,NA,NA,NA,0.12,NA,NA,NA
14290_Whittlesey Brickworks,B_Industry,,2,-0.160510857,52.55833483,NA,0.736,4.49,NA,NA,0.0516,0.922,NA,NA,NA,NA,NA,NA,NA
14395_Smurfitt Kappa Townsend Hook,B_Industry,,1,0.4496369393,51.32948032,0.1230210788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14456_Golden Eagle,B_Industry,,2,-0.9180040223,57.96099663,0.522540211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14484_Banbury,B_Industry,,1,-1.339048278,52.07181341,0.109444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14587_Cauldon Cement Plant,B_Industry,,3,-1.8746695,53.04360281,0.715375,0.108352,NA,0.035424,NA,NA,2.496132,NA,NA,0.04785,0.34,NA,NA,NA
14590_Lindsey Oil Refinery,B_Industry,,3,-0.2570352328,53.63987437,0.7759189999,NA,1.520908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14661_Eggborough,B_Industry,,2,-1.139104036,53.70509514,0.1149504192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14705_Solan,B_Industry,,2,-3.906918933,60.11101695,0.16543538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14708_Clair Ridge,B_Industry,,2,-2.462007923,60.73000064,0.94146093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14709_Glen Lyon FPSO,B_Industry,,1,-4.038633011,60.35169921,2.10545256,NA,NA,NA,NA,NA,0.630807775,NA,NA,NA,NA,NA,NA,NA
14712_Douglas,B_Industry,,3,-3.565572049,53.52911703,0.681243994,NA,0.576505745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14842_Tunstead Quarry,B_Industry,,2,-1.857193637,53.27684585,0.82027,NA,NA,0.0177,NA,NA,1.25099,NA,NA,0.04596,NA,NA,NA,NA
14885_Stella FPF-1,B_Industry,,2,2.063882299,56.8098173,0.229608909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14905_Mariner PDQ,B_Industry,,2,1.114909591,59.58955488,0.640116664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14909_Lomond,B_Industry,,2,2.162664759,57.29432885,0.364524511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14910_North Everest,B_Industry,,2,1.812553788,57.803648,0.220423027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14914_Maydown Works,B_Industry,,2,-7.240135907,55.03192789,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02084799056,NA,NA,NA,NA
14928_Forties Pipeline System - Kinneil,B_Industry,,2,-3.671933588,56.00591412,0.4070053949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14987_Armada Kraken FPSO,B_Industry,,1,1.295129098,59.92419946,4.409450578,NA,0.151568077,NA,0.05592711313,0.06228154081,1.024197818,NA,NA,NA,NA,NA,NA,NA
14988_BW Catcher,B_Industry,,1,0.7144158064,56.76883838,0.641556008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2597_Lochaber,B_Industry,,1,-5.072433541,56.82894505,NA,NA,0.386597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2611_Irvine,B_Industry,,1,-4.628743832,55.59618238,NA,0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2666_Wissington,B_Industry,,1,0.5120374554,52.57044744,NA,NA,NA,0.2868862409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2667_Bury St Edmunds,B_Industry,,2,0.7256753206,52.25545501,NA,NA,NA,0.191257494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2668_Newark,B_Industry,,2,-0.8174159666,53.0881349,NA,NA,NA,0.1530059952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2671_Cantley,B_Industry,,2,1.520346831,52.57537423,NA,NA,NA,0.1434431205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2673_Hexham,B_Industry,,1,-2.085037189,54.97645716,NA,NA,NA,NA,0.5546096216,0.693262027,NA,0.667762174,NA,NA,NA,NA,NA,NA
2674_South Molton,B_Industry,,2,-3.857576448,51.01785457,NA,NA,NA,NA,NA,NA,NA,0.231148445,NA,NA,NA,NA,NA,NA
2675_Chirk,B_Industry,,1,-3.063834969,52.93822587,NA,0.506,NA,NA,0.06896,0.0862,NA,1.232791706,NA,NA,NA,NA,NA,NA
2677_Auchinleck,B_Industry,,1,-4.299985959,55.46838708,0.189089,0.1905418118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2678_Inverness,B_Industry,,1,-4.087618433,57.51480484,NA,0.281291,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA
2679_Cowie,B_Industry,,1,-3.869383655,56.07853712,0.1979812,0.1086982,NA,NA,NA,0.061011,0.934716,0.4839,NA,NA,NA,NA,NA,NA
2680_Coleraine,B_Industry,,1,-6.635782934,55.10018844,NA,NA,NA,NA,0.08959078504,0.1119884813,NA,NA,NA,NA,NA,NA,NA,NA
2912_Preston,B_Industry,,1,-2.63546647,53.78731256,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3081_Grangemouth,B_Industry,,3,-3.695890109,56.00689889,0.731,NA,3.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3132_Irvine,B_Industry,,2,-4.668332872,55.61578518,0.229539912,NA,0.28924128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143_Stirling,B_Industry,,2,-3.922383419,56.112788,NA,NA,NA,0.052964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3149_Alloa,B_Industry,,2,-3.800675227,56.11097456,0.507596,NA,0.252214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3185_Ardmore Distillery,B_Industry,,1,-2.750932218,57.35015428,NA,0.2476795223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3187_Dumbuck Maturation Site,B_Industry,,1,-4.5406919,55.93723857,NA,2.110715125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3188_Glenburgie Distillery,B_Industry,,1,-3.51786818,57.6229974,NA,0.3098053846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3190_Glendronach Distillery,B_Industry,,1,-2.629726431,57.48424147,NA,0.2573731753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3193_Laphroaig Distillery,B_Industry,,1,-6.154339099,55.62898789,NA,0.2199970131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3194_Miltonduff Distillery,B_Industry,,1,-3.369045643,57.62829028,NA,0.2395417612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3197_Strathclyde Distillery,B_Industry,,1,-4.240185499,55.84852483,NA,0.1621598277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3198_Tormore Distillery,B_Industry,,1,-3.413714196,57.39674837,NA,0.2579990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3199_Westhorn Maturation Site,B_Industry,,1,-4.191343851,55.84021069,NA,0.9696476372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3200_Willowyard Maturation Site,B_Industry,,1,-4.638514769,55.75099022,NA,3.044000975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3204_Great Ryburgh,B_Industry,,1,0.9011553569,52.80949409,NA,0.2438703521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3207_Arbroath,B_Industry,,1,-2.615860424,56.55073622,NA,0.1962259641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3209_Inverness,B_Industry,,1,-4.219186273,57.4894216,NA,0.2779867825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3210_Pencaitland,B_Industry,,1,-2.901077375,55.90733036,NA,0.3679236827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3211_Witham,B_Industry,,1,0.6428128632,51.80667559,NA,0.1696489406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3269_NA,B_Industry,,1,-3.944678282,55.86638496,NA,0.3433496311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3287_Balgray Warehouse,B_Industry,,1,-4.588167684,55.74134745,NA,3.211957798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3288_Burncrook Warehousing,B_Industry,,1,-3.206779594,57.53038228,NA,0.4155632731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3289_Dalmuir Warehouse,B_Industry,,1,-4.435346872,55.90900635,NA,2.164392047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3290_Keith Bond No. 1,B_Industry,,1,-2.960633015,57.54635653,NA,1.558362274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3291_Malcolmburn Warehouse,B_Industry,,1,-3.068741578,57.55239559,NA,5.195493246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3292_NA,B_Industry,,1,-4.417744043,55.85679264,NA,0.363617864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3335_Mossmorren,B_Industry,,2,-3.311499757,56.09303124,0.8974115231,0.6946391925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354_NA,B_Industry,,1,-3.443936362,55.93797816,NA,1.367895774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3368_Parkmore Distillery,B_Industry,,1,-3.119933252,57.45512173,NA,0.162762282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3369_Buchley Warehouse,B_Industry,,1,-4.245380382,55.9224863,NA,0.3861275412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3370_Glenglassaugh Distillery,B_Industry,,1,-2.736794726,57.67734638,NA,0.1707279505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3377_Balblair Distillery,B_Industry,,1,-4.178573347,57.84243333,NA,0.1284101808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3381_Moffat Distillery,B_Industry,,1,-3.938121102,55.86212085,NA,1.974445001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3383_Springbank Distillery,B_Industry,,1,-5.609172085,55.42560312,NA,0.1695409242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3384_NA,B_Industry,,1,-4.573765611,55.97834643,NA,0.8086168689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3385_NA,B_Industry,,1,-4.40580789,55.87980178,NA,1.751633826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3386_Glenfarclas Distillery,B_Industry,,1,-3.318652091,57.42651827,NA,0.2741354979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3388_Tweedmouth,B_Industry,,1,-2.025263984,55.76196126,NA,0.2544734109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3393_Highland Park Distillery,B_Industry,,1,-2.952895994,58.96646635,NA,0.2775702159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3394_Invergordon Distillery,B_Industry,,1,-4.156758266,57.69388207,NA,2.921832349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3395_Bruichladdich Distillery,B_Industry,,1,-6.360492207,55.76785756,NA,0.1545732812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3397_Tamnavulin Distillery,B_Industry,,1,-3.310391414,57.31787513,NA,0.176094937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3398_Coatbridge Site,B_Industry,,1,-4.008228335,55.85907322,NA,0.2250967729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3399_Westhorn Site,B_Industry,,1,-4.189250571,55.84161404,NA,0.5367692277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401_Auchroisk Distillery,B_Industry,,1,-3.117638595,57.54699555,NA,1.10481178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3417_Loch Lomond Distillery,B_Industry,,1,-4.577891145,55.99480726,NA,0.7038620584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3418_Macallan Distillery,B_Industry,,1,-3.208817306,57.48446691,NA,1.108867687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3419_Glen Moray Distillery,B_Industry,,1,-3.34463357,57.64379707,NA,0.2261033801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3420_Glenmorangie Distillery,B_Industry,,1,-4.077424306,57.82357357,NA,0.4772093937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3428_Bowmore Distillery,B_Industry,,1,-6.291709828,55.75682738,NA,0.162544049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3430_Linlithgow Warehouses,B_Industry,,1,-3.587970307,55.97574396,NA,0.1774801479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3431_No. 1 C & E Warehouse,B_Industry,,1,-4.046207365,55.82345188,NA,0.3030148866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3434_Dunnikier Maltings,B_Industry,,1,-3.145513906,56.12566397,NA,0.2861628643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3435_Sewerby,B_Industry,,1,-0.1698239406,54.11298848,NA,0.1950962817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3436_Stowmarket,B_Industry,,1,1.017374588,52.17653332,NA,0.139960376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3447_Muirhall Warehouse,B_Industry,,1,-3.60960375,55.84058151,NA,2.149674181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3448_Slateford Road, Edinburgh",B_Industry,,1,-3.235313814,55.92227593,NA,0.3982481367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3451_Buckie Maltings,B_Industry,,1,-2.946220981,57.67796551,NA,0.2861628643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3452_Bury St Edmunds,B_Industry,,1,0.7234036045,52.2528186,NA,0.3392978812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3453_Carnoustie Maltings,B_Industry,,1,-2.728833027,56.49855573,NA,0.3106911098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3454_Glenesk Maltings,B_Industry,,1,-2.463341629,56.74391339,NA,0.3760997645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3456_West Knapton,B_Industry,,1,-0.6665562508,54.17712206,NA,0.1017893644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3458_Aberlour Distillery,B_Industry,,1,-3.230437243,57.46669526,NA,0.1205651904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3462_Grangemouth,B_Industry,,2,-3.688839134,56.0103475,NA,0.4982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3463_Portgordon,B_Industry,,1,-3.030745578,57.65893512,NA,0.3270432735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3474_Dalry,B_Industry,,1,-4.719029443,55.71844729,NA,0.5961018912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3490_Glenlivet Distillery,B_Industry,,1,-3.338735614,57.34207536,NA,0.1719467155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3491_Longmorn Distillery,B_Industry,,1,-3.290197199,57.60540369,NA,0.1864894464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3492_Strathisla Distillery,B_Industry,,1,-2.953998268,57.54820344,NA,0.1095026165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3509_NA,B_Industry,,1,-4.203922618,55.83302968,NA,0.1731513638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3527_Tomatin Distillery,B_Industry,,1,-4.008727952,57.34096948,NA,0.5246521615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3535_NA,B_Industry,,1,-4.371967545,55.90692757,NA,0.5713995005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3536_Bunnahabhain Distillery,B_Industry,,1,-6.127033468,55.88263138,NA,0.1196910827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3537_Glen Rothes Distillery,B_Industry,,1,-3.209516445,57.52678971,NA,0.3299611916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3538_Tamdhu Distillery,B_Industry,,1,-3.348862702,57.45866531,NA,0.2861877916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3540_Glenallachie Distillery,B_Industry,,1,-3.227044966,57.45551701,NA,0.3116467242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3543_North British Distillery,B_Industry,,1,-3.23708835,55.93979792,NA,0.9989362225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3545_Bushmills Distillery,B_Industry,,1,-6.520962556,55.20170183,NA,2.451516952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3548_Dalmore Distillery,B_Industry,,1,-4.239654343,57.68851527,NA,0.387048208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3551_Isle of Jura Distillery,B_Industry,,1,-5.951775358,55.83265332,NA,0.1495352823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3552_Tomintoul Distillery,B_Industry,,1,-3.412820223,57.31209459,NA,0.1815342896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3563_Roseisle Maltings,B_Industry,,1,-3.47250233,57.67083248,NA,0.3679236827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3564_Blackgrange/Cambus Bonds,B_Industry,,1,-3.86852824,56.13022146,NA,14.57241878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3565_Bonneybridge Warehouses,B_Industry,,1,-3.909084144,56.00137341,NA,1.559574334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3566_Carsebridge Bond,B_Industry,,1,-3.776366483,56.12196628,NA,0.7272357279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3567_Glen Ord Maltings,B_Industry,,1,-4.47798331,57.52298921,NA,0.3679236827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3568_Leven Bonds No 1 & 2,B_Industry,,1,-3.017015583,56.20191228,NA,5.1928094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3569_Menstrie Bond,B_Industry,,1,-3.839813053,56.14990107,NA,3.809330003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3570_Port Ellen Maltings,B_Industry,,1,-6.200255816,55.63334874,NA,0.1521658127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3571_Strathleven Packaging Plant,B_Industry,,1,-4.558205741,55.95294665,NA,0.3415237499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3572_NA,B_Industry,,1,-4.509264215,55.62260513,NA,0.1904665002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3575_Benrinnes Distillery,B_Industry,,1,-3.23838971,57.44352994,NA,0.3049319375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3578_Brackla Distillery,B_Industry,,1,-3.905954198,57.5373923,NA,0.1980879835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3579_Cameronbridge Distillery,B_Industry,,1,-3.054267573,56.18847321,NA,0.4053995693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3587_Dufftown Distillery,B_Industry,,1,-3.128455179,57.43744742,NA,0.5201495202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3592_Glenlossie Distillery,B_Industry,,1,-3.3150965,57.599757,NA,1.18447731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3593_Inchgower Distillery,B_Industry,,1,-2.965347744,57.66135553,NA,0.3562085385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3599_Port Dundas Distillery,B_Industry,,1,-4.24985561,55.87292897,NA,0.158105832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3629_Balvenie Distillery,B_Industry,,1,-3.124175746,57.45325138,NA,0.1906204149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3630_Girvan Distillery,B_Industry,,1,-4.823572651,55.25371998,NA,3.905430175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3631_Glenfiddich Distillery,B_Industry,,1,-3.124175746,57.45325138,NA,3.363128115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3633_Macduff Distillery,B_Industry,,1,-2.511111835,57.65856345,NA,0.2344497699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3642_Belfast,B_Industry,,1,-6.023616991,54.54282278,0.1105581262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40166_North Tees Site,B_Industry,,3,-1.187809838,54.59927135,NA,0.2496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40228_Rotherham Aldwarke Site,B_Industry,,1,-1.323881402,53.44984793,NA,NA,NA,NA,NA,NA,NA,0.85925,NA,NA,NA,NA,NA,0.121
40296_Sullom Voe Terminal,B_Industry,,3,-1.273103111,60.45792758,0.411051746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40301_Sean PP, PD",B_Industry,,2,2.834945505,53.21955225,0.164729188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
