Name,Closed,Location,District/ county,Region,lat,lon,Type,Total capacity (MW),Opened,Years Operational,Post Closure Land use?,Remediation Type,Site Area (ha),Waste Type,annual_rainfall_mm,ash_lagoon_ha_final,species_before,species_5yr,species_10yr,species_20yr,species_now,contamination_index,contamination_level,soil_ph,soil_pb_mgkg,soil_as_mgkg,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km
Castle Donington,1995,Castle Donington,Leicestershire,East Midlands,52.84777778,-1.358611111,Coal,600,1958,37,Redeveloped,Partial,180,Very High Hazard,636.8,90,528,455,699,893,816,0.09,Low,5.7,30,0,0.546,0.546,0.546,0.61,,0.498,0.546,0.546,0.546,
Chadderton B,1982,Chadderton,Greater Manchester,North West,53.53166667,-2.165833333,Coal,240,1955,27,Redeveloped,Partial,72,Very High Hazard,997.1,36,16,42,65,396,749,0.419,Low,4.9,57,0,0.177,0.177,0.177,0.195,,0.453,0.846,1.061,2.457,
Cliff Quay[6],1984,Ipswich,Suffolk,East,52.03583333,1.157777778,Coal,276,,,Redeveloped,Partial,82.8,Very High Hazard,654.5,41.4,1161,891,1211,1535,1305,0.043,Low,6.6,29,0,0,0,0,0.175,0,0,0,0,0,0.84
Cottam,2019,Cottam,Nottinghamshire,East Midlands,53.30388889,-0.7813888889,Coal,2000,1968,51,Remediation,Full,600,Very High Hazard,664.4,43.6,554,589,,,508,0.055,Low,6.9,29,0,0.255,0.498,0.863,0.309,,0.432,0.432,0.756,1.208,
Croydon B,1984,Purley,Croydon,Greater London,51.37888889,-0.1211111111,Coal,338,1950,34,Redeveloped,Partial,101.4,Very High Hazard,651.5,50.7,704,1038,750,690,1559,0.19,Low,7.2,182,0,0.617,0.617,1.277,1.277,,1.217,1.352,1.985,1.217,
Deptford West,1983,Deptford,Greater London,Greater London,51.4825,-0.02027777778,Coal,158,1929,54,Redeveloped,Full,47.4,Very High Hazard,644.6,23.7,46,138,259,540,2323,0.204,Low,7.1,301,0,0.127,0.127,0.127,0.127,9.457,0.146,0.146,0.146,0.146,3.411
Derwenthaugh Coke Works,1986,Swalwell,Tyne and Wear,North East,,,Waste Gas,,1928,58,Active remediation and rewilding,Full,,Medium Hazard,,,,,,,,,,,,,,,,,,,,,,
Didcot A,2013,Didcot,Oxfordshire,South East,51.62361111,-1.2675,Coal,2109,1970,43,Brownfield,Full,632.7,Very High Hazard,642.3,53.2,1209,1300,1514,,1401,0.078,Low,6.6,42,0,0.202,0.202,0.202,0.301,,0.135,0.175,0.214,0.381,
Doncaster B,1983,Doncaster,South Yorkshire,Yorkshire and the Humber,53.52416667,-1.146111111,Coal,122,1953,30,Brownfield,Partial,36.6,Very High Hazard,749,18.3,381,242,566,1308,1078,0.102,Low,3.7,71,0,0.106,0.106,0.106,0.106,3.89,0.106,0.106,0.106,0.106,
Drakelow A,1984,Burton upon Trent,Derbyshire,East Midlands,52.77361111,-1.656666667,Coal,240,1955,29,Redeveloped,Full,72,Very High Hazard,750.3,3.6,130,52,302,475,704,0.147,Low,5.4,56,0,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,
Drakelow B,1993,Burton upon Trent,Derbyshire,East Midlands,52.77361111,-1.656666667,Coal,480,1959,34,Renewable energy site,Full,144,Very High Hazard,721.3,3.6,192,407,379,559,704,0.147,Low,5.4,56,0,0.329,0.329,0.329,0.403,,0.334,0.334,0.403,0.696,
Drakelow C,2003,Burton upon Trent,Derbyshire,East Midlands,52.77361111,-1.656666667,Coal,1450,1964,39,Passive rewilding and redevelopment,Passive rewilding,435,Very High Hazard,734.3,3.6,400,620,559,892,704,0.147,Low,5.4,56,0,0.1,0.1,0.1,0.354,0.498,0.334,0.334,0.403,0.696,
Dungeness A1,2006,Dungeness,Kent,South East,50.91388889,0.9638888889,Nuclear (magnox),285,1965,41,"Decomissioning, restricted site",Partial (nuclear),42.8,Extreme Hazard,648.1,,1195,1320,1341,,1187,0.091,Low,7.9,26,0,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325
Dungeness A2,2006,Dungeness,Kent,South East,50.91388889,0.9638888889,Nuclear (magnox),285,1965,41,"Decomissioning, restricted site",Partial (nuclear),42.8,Extreme Hazard,648.1,,1195,1320,1341,,1187,0.091,Low,7.9,26,0,0.079,0.079,0.079,,,0.079,0.079,0.079,1.225,0.325
Dungeness B1,2021,Dungeness,Kent,South East,50.91388889,0.9638888889,Nuclear (AGR),660,1983,38,"Decomissioning, restricted site",Partial (nuclear),99,Extreme Hazard,717.9,,1554,,,,1187,0.091,Low,7.9,26,0,0.152,0.168,0.168,0.376,1.029,0.079,0.079,0.079,1.225,0.325
Dunston B,1981,Dunston,Tyne and Wear,North East,54.95055556,-1.657222222,Coal,300,1951,30,Redeveloped,Partial,90,Very High Hazard,728.3,45,93,302,111,255,1201,0.08,Low,5.5,51,2.8,0.05,0.05,0.05,2.462,1.074,0.075,0.075,0.075,1.613,1.145
Earley[21],1982,Earley,Berkshire,South East,,,Diesel-fired gas turbine,111,1965,17,Redeveloped,Partial,3.33,Medium Hazard,,,,,,,,,,,,,,,,,,,,,,
East Yelland,1984,Yelland,Devon,South West,,,Coal,170,1955,29,Brownfield,Partial,51,Very High Hazard,,25.5,,,,,,,,,,,,,,,,,,,,
Eggborough,2018,Eggborough,North Yorkshire,Yorkshire and the Humber,53.71166667,-1.126944444,Coal,1960,1967,51,Remediation,Partial,588,Very High Hazard,698.2,294,90,156,,,175,0.317,Low,7,78,6.4,0.28,0.28,0.28,0.407,12.564,0.261,0.27,0.416,0.378,
Elland,1991,Elland,West Yorkshire,Yorkshire and the Humber,53.69444444,-1.822777778,Coal,180,1959,32,Redeveloped,Partial,54,Very High Hazard,865.1,27,43,269,528,575,716,0.165,Low,5.6,78,0,0.1,0.1,0.1,0.302,,0.224,0.224,0.224,0.224,
Fawley,2013,Fawley,Hampshire,South East,50.81666667,-1.328888889,Oil,968,1971,42,Brownfield,Full,96.8,High Hazard,660.8,,987,905,930,,815,0.038,Low,5.8,27,0,0.141,0.141,0.141,1.532,0.772,0.301,0.301,0.336,1.532,0.866
Ferrybridge B,1992,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53.7175,-1.280555556,Coal,300,1959,33,Brownfield,Full,90,Very High Hazard,639.8,45,277,413,493,604,725,0.097,Low,7.6,54,0,0.1,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,
Ferrybridge C,2016,Ferrybridge,West Yorkshire,Yorkshire and the Humber,53.7175,-1.280555556,Coal,2000,1966,50,Brownfield,Full,600,Very High Hazard,683.2,300,560,552,,,725,0.097,Low,7.6,54,0,0.285,0.285,0.673,0.285,,0.673,0.673,0.673,0.673,
Fiddlers Ferry,2020,Widnes – Warrington,Cheshire,North West,53.37194444,-2.686944444,Coal,1989,1971,49,Remediation then redevelopment,Partial,596.7,Very High Hazard,914.1,35.5,1652,1399,,,1399,0.188,Low,7.2,118,0,0.276,0.302,0.302,1.18,,0.28,0.28,0.28,0.403,
Goldington,1983,Bedford,Bedfordshire,East,52.1375,-0.4275,Coal,180,1954,29,Redeveloped,Partial,54,Very High Hazard,637.3,28.2,326,597,531,946,888,0.112,Low,7.9,31,0,0.325,0.326,0.326,0.325,,0.325,0.335,0.335,0.325,
Grain Oil,2012,Grain,Kent,South East,51.44527778,0.715,Oil,1300,1979,33,New energy site,Partial,130,High Hazard,689.1,,718,763,367,,348,0.172,Low,5.8,50,0,0.212,0.212,0.212,0.673,0.515,0.515,0.515,0.515,0.673,0.515
Great Yarmouth B,1994,Great Yarmouth,Norfolk,East,52.58388889,1.733333333,Oil,252,1958,36,New energy site,Partial,25.2,High Hazard,629.3,,583,565,764,1094,822,0.09,Low,6.6,44,0,0.158,0.158,0.158,1.573,0.46,0.182,0.182,0.182,5.154,0.602
Hams Hall B,1981,Birmingham,Warwickshire,West Midlands,52.52472222,-1.705277778,Coal,306,1942,39,Remediation then redevelopment,Full,91.8,Very High Hazard,705.9,45.9,341,388,213,959,730,0.155,Low,5.1,61,0,0,0,0.576,0,,0.246,0.47,0.47,0.637,
Hams Hall C,1992,Birmingham,Warwickshire,West Midlands,52.52472222,-1.705277778,Coal,357,1958,34,Remediation then rewilding,Full,107.1,Very High Hazard,692.7,53.5,213,984,593,947,730,0.155,Low,5.1,61,0,0,0,0.576,0,,0.246,0.47,0.47,0.637,
High Marnham,2003,Dunham,Nottinghamshire,East Midlands,53.22888889,-0.7925,Coal,945,1959,44,Renewable energy site,Full,283.5,Very High Hazard,625.7,141.8,211,119,346,533,502,0.199,Low,7.7,31,0,0.1,0.1,0.1,0.372,0.936,0.47,0.605,0.605,0.605,
Hinkley Point A,2000,Hinkley Point,Somerset,South West,51.20861111,-3.133611111,Nuclear (magnox),470,1957,43,"Decomissioning, restricted site",Partial (nuclear),70.5,Extreme Hazard,802.3,,97,112,241,193,278,0.137,Low,5.6,27,4,0.237,0.237,0.237,5.3,2.192,0.16,0.16,0.19,2.624,1.986
Hinkley Point B,2022,Hinkley Point,Somerset,South West,51.20916667,-3.1275,Nuclear (AGR),1220,1976,46,"Decomissioning, restricted site",Partial (nuclear),183,Extreme Hazard,838.9,,224,,,,260,0.137,Low,5.6,27,4,0.2,0.2,0.2,2.9,1.559,0.2,0.2,0.2,2.9,1.559
Huddersfield[11],1981,Huddersfield,West Yorkshire,North East,53.6525,-1.773888889,Coal,94,1893,88,Redeveloped,Partial,28.2,Very High Hazard,871.5,14.1,211,414,106,626,549,0.2,Low,7.1,153,0,0.168,0.168,0.168,1.15,,0.168,0.168,0.168,1.15,
