Name,Closed,Location,District/ county,Region,lat,lon,Type,Total capacity (MW),Opened,Years Operational,Post Closure Land use?,Remediation Type,Site Area (ha),Waste Type,annual_rainfall_mm,ash_lagoon_ha_final,species_before,species_5yr,species_10yr,species_20yr,species_now,contamination_index,contamination_level,soil_ph,soil_pb_mgkg,soil_as_mgkg,dist_any_intact_closure_km,dist_1ha_patch_closure_km,dist_5ha_patch_closure_km,dist_freshwater_closure_km,dist_saltwater_closure_km,dist_any_intact_now_km,dist_1ha_patch_now_km,dist_5ha_patch_now_km,dist_freshwater_now_km,dist_saltwater_now_km
Tilbury B,2013,Tilbury,"Thurrock, Essex",East,51.455,0.3916666667,Coal+oil+biofuel,1131,1967,46,Clean energy site,Partial,339.3,Very High Hazard,579.7,332.2,754,1039,1202,,963,0.098,Low,7.9,42,0,0.202,0.202,0.202,0.202,0.28,0.177,0.177,0.177,0.28,0.326
Wakefield B,1991,Wakefield,West Yorkshire,Yorkshire and the Humber,53.67361111,-1.473333333,Coal,224,1957,34,Redeveloped,Partial,67.2,Very High Hazard,730.7,6,59,549,672,551,630,0.617,Medium,4,187,18.8,0.177,0.18,0.18,0.177,,0.177,0.18,0.18,0.177,
Walsall[21] (Birchills),1982,Walsall,Birmingham,West Midlands,,,Coal,191,1949,33,Clean energy site,Partial,57.3,Very High Hazard,,28.6,,,,,,,,,,,,,,,,,,,,
Watford,1990,Watford,Hertfordshire,East,51.64277778,-0.4044444444,Coal,27,1899,91,Redeveloped,Partial,8.1,Very High Hazard,639.4,4,752,392,653,774,1051,0.114,Low,5.1,47,0,0.075,0.075,1.061,1.061,,0.125,0.125,1.061,1.061,
West Burton A,2023,Bole,Nottinghamshire,East Midlands,53.365,-0.8194444444,Coal,1972,1967,56,Brownfield,Partial,591.6,Very High Hazard,720.6,102.7,474,,,,239,0.268,Low,7.3,191,0,0.125,0.878,0.878,0.649,,0.125,0.878,0.878,0.649,
West Ham,1983,Canning Town,London,Greater London,51.51805556,0.001388888889,Coal,114,1904,79,Redeveloped,Partial,34.2,Very High Hazard,644.6,17.1,112,108,275,405,2633,0.204,Low,7.1,301,0,0.135,0.135,0.135,0.135,7.415,0.16,0.16,0.506,0.16,2.552
West Thurrock,1993,West Thurrock,Essex,East,51.46944444,0.2888888889,Coal,1300,1962,31,Redeveloped,Partial,390,Very High Hazard,578.7,9.5,437,460,807,744,806,0.196,Low,7.8,97,0,0.106,0.106,0.106,0.246,0.195,0.141,0.141,0.141,0.195,0.141
Wilford,1981,Wilford,Nottinghamshire,East Midlands,52.93194444,-1.166944444,Coal,316,1925,56,Redeveloped,Partial,94.8,Very High Hazard,686.1,47.4,124,122,123,249,1947,0.087,Low,6.7,53,0,0.325,0.325,0.325,0.358,,0.275,0.275,0.275,0.358,
Willington A,1990,Willington,Derbyshire,East Midlands,52.85388889,-1.565,Coal,400,1957,33,Redeveloped,Partial,120,Very High Hazard,703.9,60,224,288,419,499,496,0.114,Low,5.5,78,0,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,
Willington B[49],1990,Willington,Derbyshire,East Midlands,52.85388889,-1.565,Coal,400,1960,30,Redeveloped,Partial,120,Very High Hazard,703.9,60,224,288,419,499,496,0.114,Low,5.5,78,0,0.202,0.202,0.23,0.609,,0.202,0.202,0.202,0.609,
Winfrith,1990,Winfrith Newburgh,Dorset,South West,50.68194444,-2.261111111,Nuclear,100,1968,22,"Decomissioning, restricted site",Partial (nuclear),15,Extreme Hazard,669.1,,245,1169,809,605,502,0.092,Low,6.3,82,0,0.071,0.071,0.071,3.076,6.723,0.071,0.071,0.071,3.076,6.747
