Company Name [note 30],Site Name,Technology,Type,CHP,Primary Fuel,Secondary Fuel, InstalledCapacity (MW),Grid Connection Type,Country,Region,Postcode,OS Reference,X-Coordinate,Y-Coordinate,Year Commissioned,total_co2_kgCO2e_per_year,Solar_commission_kgCO2e,Wind_commission_kgCO2e,Hydro_commission_kgCO2e,Nuclear_commission_kgCO2e,Biomass_commission_kgCO2e,Solar_co2_saving_kgCO2e_per_year,Wind_co2_saving_kgCO2e_per_year,Hydro_co2_saving_kgCO2e_per_year,Nuclear_co2_saving_kgCO2e_per_year,Biomass_co2_saving_kgCO2e_per_year
SSE Group,Bowmore,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,6.0,HV,Scotland,Scotland,PA437LL,,132024.0,660214.0,1946,3070640.2537951814,565020.0,273312.0,551880.0,601286.4,1995177.6,2505620.2537951814,2797328.2537951814,2518760.2537951814,2469353.8537951815,1075462.6537951813
SSE Group,Kirkwall,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,16.0,HV,Scotland,Scotland,KW151AN,,344667.0,1010985.0,1952,8188374.010120481,1506720.0,728832.0,1471680.0,1603430.4,5320473.6,6681654.010120481,7459542.010120481,6716694.010120481,6584943.610120481,2867900.4101204816
SSE Group,Stornoway,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,23.0,HV,Scotland,Scotland,,,143150.0,932158.0,1952,11770787.63954819,2165910.0,1047696.0,2115540.0,2304931.2,7648180.8,9604877.63954819,10723091.63954819,9655247.63954819,9465856.43954819,4122606.83954819
SSE Group,Lerwick,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,67.0,LV,Scotland,Scotland,ZE10PS,,446456.0,1142790.0,1953,34288816.16737951,6309390.0,3051984.0,6162660.0,6714364.8,22279483.2,27979426.167379513,31236832.167379513,28126156.167379513,27574451.367379513,12009332.967379514
SSE Group,Tiree,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,2.5,HV,Scotland,Scotland,PA776UP,,100030.0,744120.0,1953,1279433.4390813252,235425.0,113880.0,229950.0,250536.0,831324.0,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252
SSE Group,Loch Carnan,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,11.0,HV,Scotland,Scotland,,,83233.0,842636.0,1972,5629507.131957832,1035870.0,501072.0,1011780.0,1102358.4,3657825.6,4593637.131957832,5128435.131957832,4617727.131957832,4527148.731957832,1971681.5319578317
SSE Group,Barra,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,2.5,HV,Scotland,Scotland,HS95YA,,71706.0,803309.0,1986,1279433.4390813252,235425.0,113880.0,229950.0,250536.0,831324.0,1044008.4390813252,1165553.4390813252,1049483.4390813252,1028897.4390813252,448109.4390813252
SSE Group,Arnish,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,10.0,HV,Scotland,Scotland,,,142229.0,930499.0,2000,5117733.756325301,941700.0,455520.0,919800.0,1002144.0,3325296.0,4176033.756325301,4662213.756325301,4197933.756325301,4115589.756325301,1792437.7563253008
UK Transition Limited,West Burton CCGT,Fossil Fuel,CCGT,No,Natural Gas,,1332.0,HV,England,East Midlands,DN229BL,,479368.0,384538.0,2013,1594607060.2517126,125434440.0,60675264.0,122517360.0,133485580.8,442929427.2,1469172620.2517126,1533931796.2517126,1472089700.2517126,1461121479.4517126,1151677633.0517125
Uniper UK,Ratcliffe (Steam),Fossil Fuel,Conventional steam,No,Coal,,2021.0,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967,4481311494.797017,190317570.0,92060592.0,185891580.0,202533302.4,672042321.6,4290993924.797017,4389250902.797017,4295419914.797017,4278778192.397017,3809269173.197017
Uniper UK,Killingholme,Fossil Fuel,Single cycle,No,Natural Gas,,600.0,HV,England,Yorkshire and the Humber,DN403LU,,516717.0,419816.0,1992,718291468.5818526,56502000.0,27331200.0,55188000.0,60128640.0,199517760.0,661789468.5818526,690960268.5818526,663103468.5818526,658162828.5818526,518773708.58185256
Uniper UK,Connahs Quay,Fossil Fuel,CCGT,No,Sour Gas,,1380.0,HV,Wales,Wales,CH54BP,,328878.0,368331.0,1996,1709038321.798201,129954600.0,62861760.0,126932400.0,138295872.0,458890848.0,1579083721.798201,1646176561.798201,1582105921.798201,1570742449.798201,1250147473.798201
Uniper UK,Cottam Development Centre,Fossil Fuel,CCGT,No,Natural Gas,,445.0,HV,England,East Midlands,DN220TF,,470307.0,378332.0,1998,532732839.1982072,41905650.0,20270640.0,40931100.0,44595408.0,147975672.0,490827189.1982072,512462199.1982072,491801739.1982072,488137431.1982072,384757167.1982072
Uniper UK,Enfield,Fossil Fuel,CCGT,No,Natural Gas,,408.0,HV,England,London,EN37PL,,532446.0,190691.0,1999,488438198.63565975,38421360.0,18585216.0,37527840.0,40887475.2,135672076.8,450016838.63565975,469852982.63565975,450910358.63565975,447550723.43565977,352766121.83565974
Uniper UK,Grain,Fossil Fuel,CCGT,Yes,Natural Gas,,1365.0,HV,England,South East,ME30AR,,588672.0,172826.0,2011,1634113091.0237143,128542050.0,62178480.0,125552700.0,136792656.0,453902904.0,1505571041.0237143,1571934611.0237143,1508560391.0237143,1497320435.0237143,1180210187.0237143
Uniper UK,Ratcliffe (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,34.0,HV,England,East Midlands,NG110EE,,449969.0,327738.0,1967,17400294.771506023,3201780.0,1548768.0,3127320.0,3407289.6,11306006.4,14198514.771506023,15851526.771506023,14272974.771506023,13993005.171506023,6094288.371506022
Uniper UK,Taylors Lane,Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,144.0,HV,England,London,NW108JP,,524680.0,195111.0,1979,73695366.09108433,13560480.0,6559488.0,13245120.0,14430873.6,47884262.4,60134886.09108433,67135878.09108433,60450246.09108433,59264492.49108433,25811103.691084333
Uniper UK,Grain (OCGT),Fossil Fuel,Single cycle,No,Diesel/Gas Oil,,50.0,HV,England,South East,ME30AR,,0.0,0.0,2011,25588668.781626508,4708500.0,2277600.0,4599000.0,5010720.0,16626480.0,20880168.781626508,23311068.781626508,20989668.781626508,20577948.781626508,8962188.781626508
Veolia,SELCHP,Bioenergy,Bioenergy,Yes,MSW,,35.0,LV,England,London,,,535605.0,178129.0,1994,7474073.5311676925,3295950.0,1594320.0,3219300.0,3507504.0,11638536.0,4178123.5311676925,5879753.5311676925,4254773.5311676925,3966569.5311676925,-4164462.4688323075
Viridor Waste Management,Runcorn Energy from Waste,Bioenergy,Bioenergy,No,MSW,,91.0,LV,England,North West,,,349985.0,381240.0,2014,19432591.181036,8569470.0,4145232.0,8370180.0,9119510.4,30260193.6,10863121.181036,15287359.181036,11062411.181036,10313080.781035999,-10827602.418964002
Vitol,Rye House,Fossil Fuel,CCGT,No,Natural Gas,,715.0,HV,England,East of England,EN110RF,,538365.0,209811.0,1993,855964000.060041,67331550.0,32569680.0,65765700.0,71653296.0,237758664.0,788632450.060041,823394320.060041,790198300.060041,784310704.060041,618205336.060041
Vitol,Damhead Creek,Fossil Fuel,CCGT,No,Natural Gas,,805.0,HV,England,South East,ME39TX,,581973.0,173211.0,2000,963707720.3473189,75806850.0,36669360.0,74043900.0,80672592.0,267686328.0,887900870.3473189,927038360.3473189,889663820.3473189,883035128.3473189,696021392.3473189
Vitol,Shoreham,Fossil Fuel,CCGT,No,Natural Gas,,420.0,LV,England,South East,BN411WF,,521488.0,105110.0,2000,502804028.0072968,39551400.0,19131840.0,38631600.0,42090048.0,139662432.0,463252628.0072968,483672188.0072968,464172428.0072968,460713980.0072968,363141596.0072968
Vitol,Blackburn,Fossil Fuel,CCGT,No,Natural Gas,,60.0,LV,England,London,BB25HX,,364659.0,424755.0,2002,71829146.85818526,5650200.0,2733120.0,5518800.0,6012864.0,19951776.0,66178946.85818526,69096026.85818526,66310346.85818526,65816282.85818526,51877370.85818526
Vitol,VPI,Fossil Fuel,CCGT,Yes,Natural Gas,,1268.0,HV,England,Yorkshire and the Humber,DN403DZ,,518189.0,412390.0,2004,1517989303.6029818,119407560.0,57759936.0,116630640.0,127071859.2,421647532.8,1398581743.6029818,1460229367.6029818,1401358663.6029818,1390917444.4029818,1096341770.8029819
